title,genre,producer,country,country_duble,year,year_duble,imdb
Банкрот,"Жанры игрового кино,Драма (жанр),Трагикомедия","(['Масленников, Игорь Фёдорович'],)",Россия,,,2009,6.7
Банкомат,"Жанры игрового кино,Триллер","(['Дэвид Брукс (страница отсутствует)'],)","США,Канада",,,2012,4.7
Банковский билет в миллион фунтов стерлингов,"Жанры игрового кино,Кинокомедия,Мелодрама","(['Ним, Рональд'],)",Великобритания,,,1954,6.8
Банкирша,"Жанры игрового кино,Драма (жанр)","(['Жиро, Франсис'],)",,,,1980,6.2
Банкир неудачник,"Жанры игрового кино,Кинокомедия","(['Лучано Сальче (страница отсутствует)'],)",Италия,,,1980,5.7
Банкир,"Жанры игрового кино,Кинематограф,Кинематограф","(['Нолфи, Джордж (страница отсутствует)'],)",США,,,2020,7.3
Банкир,"Жанры игрового кино,Триллер","(['Уэбб, Уильям (режиссёр) (страница отсутствует)'],)",США,,,1989,4.9
Банк,"Жанры игрового кино,Триллер,Драма (жанр)","(['Роберт Коннолли (страница отсутствует)'],)","Австралия,Италия",,,2001,6.5
Банк,"Жанры игрового кино,Трагикомедия","(['Чаплин, Чарльз'],)",,Соединённые Штаты Америки,,1915,6.7
Банзай!,"Жанры игрового кино,Кинокомедия","(['Клод Зиди'],)",Франция,,,1983,5.9
Банель и Адама,"Жанры игрового кино,Драма (жанр)","([],)",,,,2023,6.3
Банды Нью-Йорка,"Жанры игрового кино,Историческая драма","(['Скорсезе, Мартин'],)",США,,,2002,7.5
Бандольеро,"Жанры игрового кино,Вестерн","(['Маклаглен, Эндрю (страница отсутствует)'],)",США,,,1968,6.5
Бандиты против самураев,"Жанры игрового кино,Тямбара,Исторический фильм,Боевик (киножанр)","(['Хидэо Гося'],)",Япония,,,,6.6
Бандиты на велосипедах,"Жанры игрового кино,Приключенческий фильм,Криминальный фильм,Драма (жанр)","(['Брайан Тренчард-Смит'],)",Австралия,,,1983,5.5
Бандиты из Шаньдуна,"Жанры игрового кино,Боевик (киножанр),Драма (жанр)","([],)","Гонконг,Республика Корея",,,1971,6.3
Бандиты во времени,"Жанры игрового кино,Киносказка","(['Гиллиам, Терри'],)",,Великобритания,,1981,6.9
Бандиты в Милане,"Жанры игрового кино,Драма (жанр)","(['Лидзани, Карло'],)",Италия,,,1968,7.1
Бандиты,"Жанры игрового кино,Боевик (киножанр)","(['Вин Дизель'],)",США,,,2009,5.6
Бандитки,"Жанры игрового кино,Драма (жанр)","(['Катя фон Гарнье'],)",Германия,,,1997,6.4
Бандит,"Жанры игрового кино,Драма (жанр)","(['Лелуш, Клод'],)",Франция,,,1986,6.3
Бандит,"Жанры игрового кино,Драма (жанр),Криминал","(['Альберто Латтуада'],)",Италия,,,1946,6.8
"Банда, не умевшая стрелять","Жанры игрового кино,Комедия,Детективный фильм","(['Голдстоун, Джеймс'],)",США,,,1971,4.9
Банда честных,"Жанры игрового кино,Комедия","(['Мастрочинкве, Камилло'],)",Италия,,,,7.5
Банда с Лавендер Хилл,"Жанры игрового кино,Кинокомедия,Криминальный фильм","(['Чарльз Крайтон'],)",Великобритания,,,1951,7.5
Банда отца,Жанры игрового кино,"(['Ги Лефранк (страница отсутствует)'],)",Франция,,,1956,5.8
Банда мотоциклистов,"Жанры игрового кино,Боевик (киножанр)","([],)",,Соединённые Штаты Америки,,,4.9
