title,genre,producer,country,country_duble,year,year_duble,imdb
Эльдорадо,"Жанры игрового кино,Вестерн","(['Хоукс, Говард'],)",,Соединённые Штаты Америки,,1966,https://www.imdb.com/title/tt0061619/
Эльдорадо,"Жанры игрового кино,Киноавангард","(['Л’Эрбье, Марсель'],)",Франция,,,1921,https://www.imdb.com/title/tt0012134/
Эльвира Мадиган,"Жанры игрового кино,Фильм-мелодрама (страница отсутствует)","(['Видерберг, Бу'],)",Швеция,,,1967,https://www.imdb.com/title/tt0061620/
Эльвира — повелительница тьмы 2,"Жанры игрового кино,Кинокомедия","(['Ирвин, Сэм (страница отсутствует)'],)",США,,,2001,https://www.imdb.com/title/tt0265171/
Эльвира — повелительница тьмы,"Жанры игрового кино,Кинокомедия","(['Синьорелли, Джеймс (страница отсутствует)'],)",США,,,1988,https://www.imdb.com/title/tt0095088/
Эль-Аламейн: Линия огня,"Жанры игрового кино,Драма (жанр),Военный фильм","(['Энцо Монтелеоне (страница отсутствует)'],)",Италия,,,2002,https://www.imdb.com/title/tt0329042/
Эль Сид,"Жанры игрового кино,Драма (жанр)","(['Энтони Манн'],)",,"Соединённые Штаты Америки,Италия",,1961,https://www.imdb.com/title/tt0054847/
Элфи,"Жанры игрового кино,Драма (жанр)","(['Гилберт, Льюис (режиссёр)'],)",Великобритания,,,1966,https://www.imdb.com/title/tt0060086/
Элмер Гантри,"Жанры игрового кино,Драма (жанр)","(['Ричард Брукс'],)",США,,,1960,https://www.imdb.com/title/tt0053793/
Эллинг,Жанры игрового кино,"(['Несс, Петтер'],)",,,,2001,https://www.imdb.com/title/tt0279064/
Элли Паркер,"Жанры игрового кино,Драма (жанр),Комедия","(['Скотт Коффи'],)",США,,,2005,https://www.imdb.com/title/tt0436262/
Элла Маккей,"Жанры игрового кино,Комедийный фильм","(['Брукс, Джеймс'],)",США,,,,https://www.imdb.com/title/tt30096221/
Элитный отряд 2,"Жанры игрового кино,Боевик (киножанр),Криминальный фильм,Драма (жанр)","(['Падилья, Жозе'],)",Бразилия,,,2010,https://www.imdb.com/title/tt1555149/
Элитный отряд,"Жанры игрового кино,Драма (жанр),Боевик (киножанр)","(['Падилья, Жозе'],)",Бразилия,,,2007,https://www.imdb.com/title/tt0861739/
Эль Муэрто,"Жанры игрового кино,Супергеройский фильм","([],)",США,,,,https://www.imdb.com/title/tt19845348/
